shortname,combo_scorePOC,inequity_cancerPOC,score_cancerPOC,white_cancer_pct,black_cancer_pct,latino_cancer_pct,nonwhite_cancer_pct,inequity_respPOC,score_respPOC,white_resp_pct,black_resp_pct,latino_resp_pct,nonwhite_resp_pct,inequity_pwdisPOC,score_pwdisPOC,white_pwdis_pct,black_pwdis_pct,latino_pwdis_pct,nonwhite_pwdis_pct,inequity_leadPOC,score_leadPOC,white_lead_pct,black_lead_pct,latino_lead_pct,nonwhite_lead_pct,inequity_prmpPOC,score_prmpPOC,white_prmp_pct,black_prmp_pct,latino_prmp_pct,nonwhite_prmp_pct,cbsa_code,cbsa_title
Akron,1,Inequity,0,0.008759121491238211,0.0588437633439294,0.006576693841200246,0.03961885656970913,None,0,0.0017713878183295954,0.015312900317882051,2.055216825375077e-4,0.011124924067978584,None,0,0.24576583177862632,0.16279593870095366,0.24717407686510928,0.1952265246443556,Severe Inequity,1,0.16604270894284073,0.3751838496939792,0.30013016373227375,0.34383431986099144,Inequity,0,0.3044901835591734,0.4457346870996821,0.3765157224087141,0.41960388206874144,10420,"Akron, OH"
Albany,2,None,0,0,0,0,0,None,0,0,0,0,0,Inequity,0,0.2125002314910445,0.27722022344252983,0.2709644759431263,0.2577573909881688,Severe Inequity,1,0.09585153802649966,0.27504260556712745,0.21114143592903992,0.22866332895141667,Extreme Inequity,1,0.21958172061238998,0.5096730417218961,0.3428709776819122,0.3866137107375605,10580,"Albany-Schenectady-Troy, NY"
Albuquerque,0,Inequity,0,0.25671026427084964,0.33911778962675715,0.3893125844284807,0.36806071446602573,Inequity,0,0.2306579918995726,0.32583616093068346,0.34940195560962956,0.3334950125857381,Inequity,0,0.32151368345677905,0.32506059137178867,0.37625804027518095,0.35570397190026615,None,0,0.175286423952203,0.17474551623848764,0.20132893783380001,0.19173596636109888,None,0,0.255378840430531,0.2539990305380514,0.30128554942253155,0.28463962956819017,10740,"Albuquerque, NM"
Allentown,4,Extreme Inequity,1,0.4926936731847681,0.7885598533809203,0.8397408419824746,0.7988093969742169,Extreme Inequity,1,0.11398457734679414,0.34720748528986206,0.3996430252903933,0.3527949428226437,None,0,0.04737191065182103,0.05804475740329893,0.022655245349842243,0.03212230982314085,Severe Inequity,1,0.11959251795553494,0.24168033182212792,0.27549593484508844,0.24534324170750763,Extreme Inequity,1,0.23473983662831144,0.5346773415645799,0.587349884404843,0.5377823353931387,10900,"Allentown-Bethlehem-Easton, PA-NJ"
Atlanta,2,Severe Inequity,1,0.21486421397845995,0.46249220172551087,0.24244663330184102,0.38866000277778406,Severe Inequity,1,0.17164601296520662,0.3665204226030767,0.2906697648290478,0.3358872619266671,Inequity,0,0.17047394727009083,0.24496624551757717,0.20497982789878202,0.23015552045908844,None,0,0.12617211099759318,0.1560998990662359,0.1144575236830682,0.13591871340261466,Inequity,0,0.15481849834247297,0.2979640797528898,0.29794704185072646,0.2869911732850648,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
Augusta,0,None,0,0.1332063973300652,0.12280158238406177,0.1477154883181846,0.12177287026874241,None,0,0.13248206748798133,0.06659835088889948,0.12898798267553224,0.07534037890440023,None,0,0.15606099040644988,0.20101520423240074,0.09915817727078631,0.1829805041535587,Inequity,0,0.21127203933997354,0.2953100424193318,0.1844079790154334,0.2660039571686055,Inequity,0,0.1471826014138185,0.27031600019064866,0.1497895443176966,0.2416846232063344,12260,"Augusta-Richmond County, GA-SC"
Austin,0,None,0,0,0,0,0,None,0,0,0,0,0,Inequity,0,0.15397534513452688,0.2612786061499809,0.28787173738313804,0.2641685276341328,None,0,0.09228825076462038,0.08289638975367306,0.0767332184831904,0.0724632101047078,None,0,0.05392695775954652,0.09014692227866077,0.0736961567018851,0.07100207914985872,12420,"Austin-Round Rock-Georgetown, TX"
Bakersfield,1,None,0,0.3414527166295655,0.3542973274185442,0.19073924634644066,0.2090308958002519,Severe Inequity,1,0.6359765850441091,0.7201110115600621,0.8164263352021869,0.8054690494442315,None,0,0.011928435979882926,5.681694018924412e-4,0.0015062086215127995,0.0014475989705962876,None,0,0.09107758265314535,0.08489762024431284,0.10859067037902377,0.10113857252368176,Inequity,0,0.25900239096380573,0.19737330914971263,0.3731510391360742,0.3443112440453376,12540,"Bakersfield, CA"
Baltimore,2,Inequity,0,0.06595647544155624,0.1542192467126373,0.14073428718678677,0.13987217771034025,Inequity,0,0.08671018785268222,0.17271693372746172,0.15818955996760498,0.16093068187522064,None,0,0.21029092251930503,0.1975465260622759,0.23864333570569612,0.2138805757680734,Severe Inequity,1,0.21121096308961637,0.44998277959617533,0.278259749183989,0.37258872639331975,Extreme Inequity,1,0.21030483378566026,0.49891969840754624,0.3682725108596952,0.43498005811001733,12580,"Baltimore-Columbia-Towson, MD"
Baton Rouge,2,Inequity,0,0.7607729934436903,0.7836313012895663,0.882641157256183,0.8017447911020532,Severe Inequity,1,0.5952457482888073,0.8356069487370777,0.7672363509099394,0.8269247447043774,Inequity,0,0.3003519225935129,0.3212924970691676,0.37520415305646293,0.33733441016412635,Inequity,0,0.06790169244273016,0.1902776297559416,0.06060429304713019,0.16718340090627237,Severe Inequity,1,0.03934816023604363,0.2648073643823937,0.07967802146523566,0.2254433796587386,12940,"Baton Rouge, LA"
Birmingham,4,Extreme Inequity,1,0.29564958992036133,0.6534660746624013,0.4600819871742836,0.614380654393752,Inequity,0,0.06100677522881255,0.15306619600489046,0.12425927429174446,0.1460864925174028,Severe Inequity,1,0.20478277665517652,0.4090743345314372,0.18676434775549963,0.36516044531761627,Extreme Inequity,1,0.19151759182217995,0.5121296526111617,0.2674121276077604,0.4557908268451818,Extreme Inequity,1,0.1238024485914656,0.4383987694155643,0.22960467570419676,0.39437046738945886,13820,"Birmingham-Hoover, AL"
Boise,2,Severe Inequity,1,0.4243425961199171,0.6326768781911014,0.30437820453541303,0.36061821480200684,Severe Inequity,1,0.41256471340017237,0.6261123267687819,0.29725758556559084,0.34881232461237566,Inequity,0,0.41131828371899504,0.41838074398249453,0.5386291010346989,0.4941750049604581,None,0,0.1115642341391823,0.0650619985412108,0.1589449564851063,0.13915502140083336,Inequity,0,0.17741785413963876,0.14442013129102846,0.28189636571005827,0.2566399274355849,14260,"Boise City, ID"
Boston,4,Extreme Inequity,1,0.19776207105209664,0.4664723750102619,0.41453225521959913,0.40741182718484137,Extreme Inequity,1,0.20179573235574705,0.49500314697753334,0.4089473537630316,0.41907864389132093,Severe Inequity,1,0.18417699865828988,0.1899761924308349,0.35871666094189514,0.26097087622552867,Inequity,0,0.1833309652635044,0.27023780204143066,0.3246261105283191,0.26916723716688545,Extreme Inequity,1,0.15598726007849048,0.1785430862271844,0.45976475830633406,0.30856210915501064,14460,"Boston-Cambridge-Newton, MA-NH"
