shortname,combo_scorePOC,inequity_cancerPOC,score_cancerPOC,white_cancer_pct,black_cancer_pct,latino_cancer_pct,nonwhite_cancer_pct,inequity_respPOC,score_respPOC,white_resp_pct,black_resp_pct,latino_resp_pct,nonwhite_resp_pct,inequity_pwdisPOC,score_pwdisPOC,white_pwdis_pct,black_pwdis_pct,latino_pwdis_pct,nonwhite_pwdis_pct,inequity_leadPOC,score_leadPOC,white_lead_pct,black_lead_pct,latino_lead_pct,nonwhite_lead_pct,inequity_prmpPOC,score_prmpPOC,white_prmp_pct,black_prmp_pct,latino_prmp_pct,nonwhite_prmp_pct,cbsa_code,cbsa_title
Bridgeport,4,Severe Inequity,1,0.2529739078513226,0.46917077257585127,0.4849620421944558,0.45836552600752684,Extreme Inequity,1,0.34912211166760176,0.7196545051963855,0.6560947547259081,0.6408156031314818,Inequity,0,0.09170085395294252,0.17719574714248668,0.13451364545474095,0.14113822218899108,Severe Inequity,1,0.1114685691441082,0.3347130518042728,0.29676444654723755,0.2760289886377168,Severe Inequity,1,0.16008572129597698,0.33377550816859825,0.3690294414933655,0.3423334357960383,14860,"Bridgeport-Stamford-Norwalk, CT"
Buffalo,2,None,0,0,0,0,0,None,0,0.004564266937548474,0.006618370449870316,0.008724961817320015,0.007039254979628349,None,0,0.11146763488609923,0.07382315237158274,0.09676456647297368,0.08437730719199353,Extreme Inequity,1,0.2294281968743351,0.5294845422293772,0.4559099766515106,0.47568878836530687,Extreme Inequity,1,0.41602549583496345,0.7369570402170349,0.6872882397345645,0.6697409694796342,15380,"Buffalo-Cheektowaga, NY"
Ft. Myers,1,None,0,0,0,0,0,None,0,0,0,0,0,Inequity,0,0.25221199644788894,0.314596268122576,0.2228169532156696,0.24597087458882258,Inequity,0,0.05090013724065553,0.12723671288513075,0.11135774126242223,0.10943104616757855,Severe Inequity,1,0.04671429724711391,0.22882301046989698,0.06739556446242731,0.10658379754367985,15980,"Cape Coral-Fort Myers, FL"
Charleston,3,Severe Inequity,1,0.20814241174695766,0.35520692700455775,0.38237942419135135,0.3455101349158849,Severe Inequity,1,0.14526199336216433,0.2800341071736725,0.3658485904924618,0.2851116607417129,None,0,0.17508196721311475,0.2178494208886137,0.1834322258906102,0.20151573057204047,Inequity,0,0.13301015790003018,0.2072315328941358,0.10652690878027382,0.17553126284441048,Severe Inequity,1,0.1979865231821382,0.29879305269355316,0.35171888347609265,0.29833284058869763,16700,"Charleston-North Charleston, SC"
Charlotte,3,Severe Inequity,1,0.5262460000876693,0.7249686490495022,0.7364922962515396,0.7319275533151761,Severe Inequity,1,0.5109193416550419,0.7346808849275823,0.7302409890544026,0.7345234120103472,None,0,0.23053805750591122,0.2185104406972941,0.2258488066742581,0.21845242166159096,Inequity,0,0.17269307231944633,0.24226720279561278,0.1808347470428296,0.20804585447099197,Severe Inequity,1,0.23157526281454588,0.432338789652175,0.3807991138171706,0.39411893679421006,16740,"Charlotte-Concord-Gastonia, NC-SC"
Chattanooga,4,Extreme Inequity,1,0.32326491589734396,0.8754532319184319,0.6509113864120571,0.7546124242274086,Extreme Inequity,1,0.3527232529652535,0.8869578255772743,0.689260632841474,0.7791074112614175,None,0,0.14585990627937387,0.1481557209454486,0.07212183381993213,0.13228614373255373,Extreme Inequity,1,0.2817203411449176,0.5564324854829475,0.45711354848891345,0.48645590737162014,Extreme Inequity,1,0.17619615602944455,0.5965213598320657,0.3564665035903101,0.48131080389144903,16860,"Chattanooga, TN-GA"
Chicago,4,Severe Inequity,1,0.23920020199730802,0.2506483550011894,0.40514936075195807,0.32667713813971716,Severe Inequity,1,0.21319762136240822,0.25395800366129884,0.43481800165089945,0.3431376686124852,None,0,0.25721514105018717,0.18661505683287308,0.28576917078440545,0.25684268342102357,Severe Inequity,1,0.14863343651896607,0.37209500760184927,0.3907510641454313,0.3417821821969329,Severe Inequity,1,0.14418452533614856,0.33105730346375417,0.3570031990931465,0.3139966084930568,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
Cincinnati,3,Extreme Inequity,1,0.4978099422683426,0.9083785160794811,0.6801136042502685,0.8264595536541319,Extreme Inequity,1,0.47661559576878104,0.9108385360029809,0.6960945006499746,0.8265284136218344,Inequity,0,0.2518252384171295,0.281754028425207,0.3206635392528118,0.28264129065792365,Inequity,0,0.17799928292166034,0.3023733298860102,0.23636466399140904,0.25883573343640115,Extreme Inequity,1,0.2132640081482023,0.53049740310107,0.40921550895834513,0.44603488756944304,17140,"Cincinnati, OH-KY-IN"
Cleveland,4,Severe Inequity,1,0.010198272648408349,0.20872191290515013,0.02100654630363174,0.1484061998896668,Severe Inequity,1,0.037133530061422365,0.28131338238218334,0.1464120418629863,0.22865671737812282,Inequity,0,0.21585205676081512,0.2386209982103798,0.3133469540924822,0.2493948561567053,Extreme Inequity,1,0.23600890502353422,0.5682466693179559,0.48594421048242503,0.5157594736173368,Extreme Inequity,1,0.1708322155601002,0.3977977729170809,0.5012884126256099,0.40055456105559606,17460,"Cleveland-Elyria, OH"
Colorado Springs,0,None,0,0,0,0,0,None,0,0,0,0,0,None,0,0.3491133638288894,0.38500285116897925,0.3905281489612823,0.38778374671391014,None,0,0.12531375489576502,0.09275803079262497,0.10577835736511526,0.10161161275574351,None,0,0.03218872641761742,0.044026800988405244,0.040781122326859744,0.03965253171791062,17820,"Colorado Springs, CO"
Columbia,1,Inequity,0,0.2860021615290881,0.41781188191341295,0.3552878940235212,0.4101758793969849,Severe Inequity,1,0.37600056837019846,0.6080946450809465,0.4808289249333275,0.5874449682038511,None,0,0.2850441132779029,0.24331917075672113,0.28850609889389234,0.25881064615110955,None,0,0.17806134092308487,0.217753278148121,0.1577624273160495,0.20343976519766976,None,0,0.19826216505987262,0.2178265328547359,0.15367463821973507,0.20887346022146128,17900,"Columbia, SC"
Columbus,2,Extreme Inequity,1,0.19662926176839463,0.4942434571900287,0.39807754145803664,0.42164914527948705,Extreme Inequity,1,0.2962658350451259,0.6774201648493067,0.5486586430244843,0.5888265329591977,None,0,0.10669817202374537,0.0505470912823217,0.05560659653635904,0.0593615869387524,None,0,0.1142562842675302,0.14690169934148165,0.13751205843171482,0.13009585749822192,Inequity,0,0.1545750313874544,0.15403931021927594,0.20459139142817767,0.1562080910947004,18140,"Columbus, OH"
Dallas,2,None,0,0.005782629971923708,0.01187669329658867,0.020982806228337748,0.015981104128764065,Inequity,0,0.17827332437717133,0.22989991590088432,0.23353432566804053,0.23576279526064337,Inequity,0,0.14646084706062504,0.18577819802925102,0.23002916167964474,0.20703376128472487,Severe Inequity,1,0.12117853358130447,0.1634809476397324,0.3197591870626811,0.2290066404853963,Severe Inequity,1,0.12131622937864475,0.24032398810836747,0.32582438188480617,0.2679424214536578,19100,"Dallas-Fort Worth-Arlington, TX"
Dayton,0,Inequity,0,0.2886315311948747,0.2625214606444797,0.4290991632544063,0.29522790902513446,Inequity,0,0.130995138778967,0.14541237453777073,0.2318853480505608,0.1487202071995554,Inequity,0,0.24680446925551028,0.2111892498679345,0.3553498308705715,0.23147419967074565,Inequity,0,0.20274506412275276,0.3040725699947174,0.2831137617945523,0.2713307538246983,None,0,0.13608971147616958,0.11830592974115162,0.1716218622040235,0.12747596128639885,19430,"Dayton-Kettering, OH"
Daytona,1,None,0,0,0,0,0,None,0,0,0,0,0,None,0,0.4464694533762058,0.38848877775615015,0.2602321177550333,0.32507731328008543,Severe Inequity,1,0.15935262593783495,0.3222333687693713,0.09377650243386736,0.18482879836251584,None,0,0.09638370846730976,0.07702097713626903,0.049223369773574825,0.06671746723919282,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
Denver,3,Severe Inequity,1,0.310101465906527,0.29334370218631056,0.46478600710084733,0.4010201804076104,Severe Inequity,1,0.26429714969216933,0.35703627834047774,0.461715573115178,0.40813565975001537,None,0,0.19416163511352977,0.21315579833845452,0.2021176544704289,0.20279019918724217,Inequity,0,0.18819933910599027,0.19580061454421305,0.33156187141976445,0.27485896034726925,Severe Inequity,1,0.21728968683642064,0.35286976973559425,0.4268593225245657,0.3748701203743612,19740,"Denver-Aurora-Lakewood, CO"
Des Moines,3,Extreme Inequity,1,0.27080408918847726,0.6039908579465542,0.46194686609098046,0.5015253928381815,Extreme Inequity,1,0.33733278964784336,0.6469174871073605,0.5065487749452547,0.562247913975768,None,0,0.04321036659076721,0.017053445850914204,0.028095690616865676,0.023582177072355128,Inequity,0,0.13750672089087437,0.22790670417252695,0.252096847498244,0.21636805946258628,Severe Inequity,1,0.13260813868310234,0.3114158462259728,0.35309672354666777,0.29420667686236596,19780,"Des Moines-West Des Moines, IA"
Detroit,4,Extreme Inequity,1,0.3170545882237974,0.6972868554433308,0.4971549981862466,0.6022719606107211,Extreme Inequity,1,0.36071155597901766,0.7079345137031051,0.5277296989169301,0.6263064702893751,None,0,0.1755523912231657,0.0631560401576017,0.21048867699642432,0.09333405848085266,Extreme Inequity,1,0.20135240308941216,0.5829994032780902,0.4438461937088667,0.4816932378158006,Severe Inequity,1,0.218119409340132,0.3019328965762425,0.4470435819039229,0.3094863064152149,19820,"Detroit-Warren-Dearborn, MI"
Durham,1,Inequity,0,0.28504687812847307,0.4188986370236599,0.42305697989283864,0.4221740086075483,None,0,0.03158578944161199,0.06896635876661013,0.05085844327936855,0.06395039669878544,None,0,0.17026147868503294,0.1775956950935292,0.15562885291236964,0.16246924609505173,Inequity,0,0.165775338999527,0.2615584542359645,0.3124819957365904,0.2551953714929913,Severe Inequity,1,0.1306871106184547,0.2860297975668981,0.3479864031802731,0.2828969292181595,20500,"Durham-Chapel Hill, NC"
El Paso,1,None,0,0.257001239157373,0.06484985105869093,0.21731910256188483,0.2125535085086303,None,0,0.018636926889714994,0.02065051123097979,0.061811309657665764,0.05924537791947561,Severe Inequity,1,0.2370458488228005,0.13722727638676435,0.4051084894508929,0.3910481583338066,Inequity,0,0.15071127633209416,0.14443281539328556,0.2360978970979144,0.23039418498057063,Inequity,0,0.23573729863692688,0.3128170034618791,0.22230823343539358,0.22403941579389997,21340,"El Paso, TX"
Fresno,2,Inequity,0,0.8788848610391852,0.9549865412020176,0.8133408887289323,0.8466118171574292,Severe Inequity,1,0.7447367512515104,0.9384062068809519,0.7915725432839935,0.8120572019842532,None,0,0,0,0,0,Inequity,0,0.0972863801139306,0.16383541812753058,0.16791739093811978,0.15329032295202993,Extreme Inequity,1,0.163921974797169,0.30751656902440677,0.4196901011555161,0.3888836920809762,23420,"Fresno, CA"
Grand Rapids,3,Extreme Inequity,1,0.13706854027117496,0.42505688073394493,0.3272370486656201,0.32295825098275327,None,0,0,0,0,0,Inequity,0,0.364366308244588,0.33840733944954127,0.4351942700156986,0.3799339450181717,Severe Inequity,1,0.1225844316235572,0.3064807339449541,0.33070054945054944,0.28040645192253155,Extreme Inequity,1,0.2660908869416183,0.48318532110091744,0.6546408948194663,0.5386360562470823,24340,"Grand Rapids-Kentwood, MI"
Greensboro,2,Extreme Inequity,1,0.06873618677392737,0.31988441197317485,0.1857107138392299,0.2759494468782502,Severe Inequity,1,0.032020828602455635,0.20540170804605679,0.09123015376922115,0.1721169907655457,None,0,0.2022132638447028,0.08624988228063306,0.21207338417302163,0.11095212581550001,Inequity,0,0.23649367205293487,0.31956718925804584,0.3563570446305788,0.3154054650319897,Inequity,0,0.25099769995031174,0.2698177456369485,0.3787192149018627,0.2972800907686974,24660,"Greensboro-High Point, NC"
Greenville,1,Severe Inequity,1,0.167787130757315,0.33154381084840057,0.2343189891485945,0.29784728610855565,None,0,0.04606005523767707,0.07038247566063978,0.06381080598854844,0.07801287948482061,None,0,0.19970615643715448,0.12782336578581363,0.20312728098489888,0.16805887764489422,Inequity,0,0.2169698495625354,0.33550764951321277,0.2922580331219283,0.3000592865174282,Inequity,0,0.2782502030345412,0.4135952712100139,0.3559715170881251,0.38217315751814374,24860,"Greenville-Anderson, SC"
Harrisburg,2,None,0,0.004038516323856191,0.0021244667757001467,0.0026235121924277154,0.0030399733813276063,Inequity,0,0.08575921599908837,0.11590146520764133,0.1379691254038828,0.11188160740483069,None,0,0.16559968092986155,0.17698831543273366,0.17447736875535058,0.17226515827523103,Severe Inequity,1,0.07334738761324142,0.31993457991198637,0.20573858772196293,0.22637214718915893,Extreme Inequity,1,0.24132869921941769,0.5854423443322261,0.5278782690342714,0.5022610747288979,25420,"Harrisburg-Carlisle, PA"
Hartford,4,Extreme Inequity,1,0.18221793830667954,0.6156235852443918,0.5181108152373737,0.5085415350858431,Extreme Inequity,1,0.10549745392253902,0.4147556082863699,0.39046048600046795,0.3463744083580978,Severe Inequity,1,0.2396632710739436,0.37297250885929717,0.4612882020656691,0.39067615138987094,Severe Inequity,1,0.1424532190663313,0.34409978612797976,0.36923556872750773,0.31444776314696876,Inequity,0,0.16069290825482002,0.1837738264358306,0.25203614363865273,0.21828031936710357,25540,"Hartford-East Hartford-Middletown, CT"
Houston,1,Inequity,0,0.5761037650016557,0.6314259171087151,0.6648818152811278,0.6268933646302585,Severe Inequity,1,0.35661382933235597,0.4417645544487963,0.5213050401143531,0.46863990776537134,None,0,0.3218885931155541,0.3319448378706254,0.32212489778076636,0.3322412168491992,Inequity,0,0.09750714517648344,0.14674342136417526,0.21801107766246283,0.1741342652646445,Inequity,0,0.21876416577452426,0.26826576113113876,0.34625039007911446,0.30253363137906514,26420,"Houston-The Woodlands-Sugar Land, TX"
Indianapolis,3,Extreme Inequity,1,0.27470721603791276,0.7197748184654101,0.6290302529488764,0.6364098218837653,Extreme Inequity,1,0.34849457049828675,0.794108973182688,0.6965344760762576,0.7127065247705379,Inequity,0,0.25787831779205944,0.30281870133955485,0.33198534519952905,0.2994065160663437,Inequity,0,0.1452269821516851,0.21536097202925525,0.22487513437223486,0.1971784199933564,Severe Inequity,1,0.15409215662876527,0.3411834482397043,0.36380322785874647,0.3081195920752753,26900,"Indianapolis-Carmel-Anderson, IN"
Jackson,3,Inequity,0,0.5471771232012165,0.6303213887455686,0.6658910073562528,0.634393169716629,Severe Inequity,1,0.23339989001539047,0.40533928066175123,0.30228193964870137,0.3990513495317951,None,0,0.1691363993696184,0.09107734300883777,0.1198018315568233,0.09234959299834751,Severe Inequity,1,0.1281837407315822,0.35532180483664266,0.2393034078967122,0.3412907766693188,Severe Inequity,1,0.17596430298176396,0.3365178170197893,0.3070860231196517,0.3347297876247016,27140,"Jackson, MS"
Jacksonville,3,Inequity,0,0.07100462267201857,0.15999582479313748,0.1026845587298733,0.1373867893384622,Extreme Inequity,1,0.3169130189409072,0.6921227763860421,0.48515363348243384,0.5948583341706019,None,0,0.4068574919203641,0.38682658974164325,0.37245910974248314,0.37467525943362373,Severe Inequity,1,0.17837341974157847,0.3762430729522508,0.22377066990342181,0.29882411620329835,Severe Inequity,1,0.19468170778879018,0.4039670791264961,0.22695497763492098,0.319996842301675,27260,"Jacksonville, FL"
Kansas City,4,Severe Inequity,1,0.12443828027445411,0.12324356992596552,0.2972267655668879,0.1877100771953388,Severe Inequity,1,0.14233932414505673,0.18543097670490424,0.34458114992342875,0.23674265136693654,Inequity,0,0.21092040259500883,0.28151307709890244,0.31010324099636416,0.27531804959278,Severe Inequity,1,0.15329659061113549,0.32830084882013616,0.34051297544510306,0.2947710693935729,Severe Inequity,1,0.116730615964133,0.1713679137465472,0.33679900821969183,0.22493549923421402,28140,"Kansas City, MO-KS"
Knoxville,5,Extreme Inequity,1,0.44204665672046656,0.7776263324924729,0.6540975668805229,0.6969759645630274,Extreme Inequity,1,0.38968940729689405,0.7569370982179184,0.604406246217165,0.6661495902169136,Extreme Inequity,1,0.3117916723179167,0.5785051672227195,0.4603558891175403,0.4924463748631902,Severe Inequity,1,0.20725620507256204,0.41408983643909186,0.2816547633458419,0.3338934994872325,Extreme Inequity,1,0.18431167774311677,0.4646024900317357,0.33897227938506236,0.3720020338340357,28940,"Knoxville, TN"
Lakeland,1,None,0,0.40277299963617375,0.4303807519752253,0.34418733993843287,0.3833311479592741,None,0,0.28303950856229226,0.30368841068805336,0.2619706650800631,0.2781744920777237,None,0,0.1261561383925809,0.13369992456425933,0.15579972579351734,0.14157680054150026,Inequity,0,0.1963597573501568,0.2839957120736888,0.21346715989342163,0.23650590582573472,Severe Inequity,1,0.2141674442318687,0.3836304442768095,0.22411206249838322,0.27859621020699626,29460,"Lakeland-Winter Haven, FL"
Las Vegas,3,Severe Inequity,1,0.16668988068707785,0.3149271819899373,0.4034937685922921,0.33153140166258227,Severe Inequity,1,0.1733069479205952,0.2931042221796028,0.3540531748753645,0.2992896384924639,Inequity,0,0.19991235814447836,0.2743947474730988,0.268172056622131,0.2615676004677014,Inequity,0,0.09473248877155689,0.15816341104124246,0.22443665630919912,0.17639549597168164,Severe Inequity,1,0.14794759488462988,0.2845023524563072,0.3095700350760472,0.25829128826101583,29820,"Las Vegas-Henderson-Paradise, NV"
Little Rock,5,Extreme Inequity,1,0.4489319956308912,0.762717804634427,0.6282692949359616,0.7193232633379356,Severe Inequity,1,0.3855556454549132,0.5498460837514676,0.47057313723980393,0.5282502524367878,Severe Inequity,1,0.20074638941704762,0.3882778319713546,0.3678293678293678,0.3618810146928514,Severe Inequity,1,0.12483514705287431,0.278538759440878,0.19378352711686045,0.24718610258206772,Severe Inequity,1,0.13102269509284356,0.35886142864653003,0.2808962808962809,0.3229047746615286,30780,"Little Rock-North Little Rock-Conway, AR"
Los Angeles,4,Severe Inequity,1,0.2409748894051749,0.4294081787620273,0.4303841358368135,0.3931463553539915,Severe Inequity,1,0.14669373985551065,0.36677991398907456,0.2808880606519684,0.2662458623368897,Inequity,0,0.2763064192737341,0.22224044319749597,0.3729920095992063,0.3498170830280963,Severe Inequity,1,0.23411934693357944,0.41207646630327704,0.42065086238679705,0.3689838080692865,Severe Inequity,1,0.16725476592088093,0.27312093221678363,0.36242215727414717,0.32101625522192745,31080,"Los Angeles-Long Beach-Anaheim, CA"
Louisville,4,Severe Inequity,1,0.6520656614331042,0.8896693180705324,0.7492224266801283,0.8319050003108629,Extreme Inequity,1,0.3767586945486381,0.6485783614976987,0.49005846048624796,0.5838429848069869,None,0,0.2481673422758272,0.1582735770013384,0.18453321174420687,0.1826106589965347,Extreme Inequity,1,0.2574128705909802,0.5104133796150205,0.28938754905632724,0.42372897994443737,Extreme Inequity,1,0.2233031034580609,0.5884756422672224,0.2844534188799687,0.47452069855792356,31140,"Louisville/Jefferson County, KY-IN"
Madison,0,Inequity,0,0.17424649058066632,0.2855026455026455,0.24582567707917233,0.23927830740212855,Inequity,0,0.16599944833344515,0.27894179894179894,0.24145828340124098,0.23383318113152796,None,0,0.11107321509777171,0.12426807760141094,0.1311283321349631,0.10407189615000555,None,0,0.11659547186127822,0.07887125220458553,0.07757449868179277,0.077025493091176,Inequity,0,0.11497215574888735,0.1927689594356261,0.16761204761524326,0.14072834964879788,31540,"Madison, WI"
McAllen,0,None,0,0,0,0,0,None,0,0,0,0,0,None,0,0.24508496532805,0.07225913621262459,0.19414118297766536,0.19408135704710697,None,0,0.03912977215575707,0.008859357696566999,0.037201153901776265,0.036627116025733666,None,0,0.4358949935228225,0.4529346622369878,0.38950908431246684,0.3895866866662348,32580,"McAllen-Edinburg-Mission, TX"
Memphis,4,Severe Inequity,1,0.07702905617734021,0.29024201435457,0.20726492862408685,0.2677083003618945,Severe Inequity,1,0.05923552308171265,0.26333436336239713,0.10134709469874674,0.23376486352462042,None,0,0.13431408466935332,0.13405403511231034,0.10381341733127807,0.13272322982939258,Severe Inequity,1,0.18075443204315167,0.3341770014685878,0.3173245761007975,0.3225978328532692,Severe Inequity,1,0.12721903159835635,0.2534365273791282,0.3413042021312244,0.25379303432194894,32820,"Memphis, TN-MS-AR"
Miami,2,Inequity,0,0.005962508891720817,0.027162537316115495,0.05700008069341084,0.04546848308011955,Inequity,0,0.03196597228102098,0.08175150040604509,0.1575720588523943,0.12837269884597963,None,0,0.1933544128012736,0.1064213947362831,0.06850797883360946,0.08260821021209719,Severe Inequity,1,0.18395871545037273,0.37439236210398347,0.3205651155842239,0.32699596615717047,Severe Inequity,1,0.2124683093407426,0.37038093075011314,0.20529094336413012,0.25474016070693867,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
Milwaukee,5,Extreme Inequity,1,0.3834839211855741,0.7972596449446248,0.8018907114202293,0.7647446226610259,Extreme Inequity,1,0.40747241342470353,0.803738899655218,0.822625632017471,0.7740976717967989,Extreme Inequity,1,0.2454871338960028,0.13688544366356128,0.6047665392740997,0.31031131912535326,Extreme Inequity,1,0.2618998107476992,0.6528831710601073,0.6487525814798111,0.5961771689185726,Extreme Inequity,1,0.17464438882190442,0.3515803155183015,0.5596648230351081,0.40533928527369245,33340,"Milwaukee-Waukesha, WI"
